Subcorpus	Filename	Year data collection	Placement test score (raw)	Placement test score (%)	Proficiency	Sex	Age	School/University/Institution	Major	Year at university/school	L1	Father's native language	Mother's nativelanguage	Languages spoken at home	Age of exposure to Spanish	Years studying Spanish	Stay abroad in Spanish speaking country (>= 1 month)	Stay abroad (where)	Stay abroad (when)	Stay abroad (months)	Language certificates (type and level)	Proficiency (self-assessment) speaking	Proficiency (self-assessment) listening	Proficiency (self-assessment) reading	Proficiency (self-assessment) writing	Proficiency (self-assessment)	Additional foreign language(s)	Proficiency (self-assessment) in additional language speaking	Proficiency (self-assessment) in additional language listening	Proficiency (self-assessment) in additional language reading	Proficiency (self-assessment) in additional language writing	Medium	Task number	Task title	Writting/audio details	Minutes taken to complete the task	Where the task was done	Resources used	Text	Original text
Learners	EN_WR_32_19_5_6_LES	2006-2016	32 / 43	74.4	Upper intermediate	Female	19	University of Florida	SPN2240	1st	English	English	English	English	15	5	No	""	""	0	""	Upper intermediate (B2)	Lower advanced (C1)	Lower advanced (C1)	Upper intermediate (B2)	4.5 / 6	""	""	""	""	""	Written	6	6. Recent trip	written_online	""	Outside classroom	""	En diciembre, fui al Atlanta, Georgia con tres amigas para ver la partida de fútbol americano. La partida era de la Universidad de Florida y la Universidad de Alabama. Las escuelas competieron para el título del Campeones del SEC. El partido era en el 6 de diciembre. <br/>   Mis amigas y yo llegamos por Atlanta en el 5 de diciembre en la mañana. El viaje iba muy divertido. Cantamos muchas canciones y vimos muchos otros aficionados en la calle. Todos eran allegros porque iban a mirar el equipo favorito. <br/>   Comían almuerzo en el medio del viaje y continuaba mantener. Venían en Atlanta al mediodía. Mis amigas, Rachel y Cheree, los cortaban su pello. Los ambos eran nerviosa, pero su pello eran bonita y ellas eran felices. <br/>   Después, fueron al centro comercial para comprar ropa de abrigo. Era muy frio allí. Necesitamos guantes, sombreros, y bufandas. Eran muchas personas en el centro comercial. Todos llevaron los colores de sus equipos favoritos. Buscamos todos de las ropas que necesitamos y entonces fuimos al coche. <br/>   Fuimos a la casa de la hermana de Cheree. La casa estuve cerca del estadio de futbol americano. Era muy larga y bonita. La hermana tenía un esposo y dos hijas bonitas. Una hija tenía tres anos y eran muy vigorosa. La otra hija tenía seis meses y tenía un resfriado. Era muy triste oír la tos de bebé. <br/>   La hermana y su esposo cocinaron cena. Era muy deliciosa. Comíamos el bistec, las papas, al arroz, y verduras diferentes. También, cocinaron el pan que era muy único. Tenía queso y especias muy raro. <br/>   En la mañana, también nos cocinaron el desayuno. Después, nos levantamos y hacíamos fotografías. Viajamos por el tren y entre la ciudad de Atlanta donde había muchos aficionados. Había mucha energía en todos. <br/>   Fuimos a una fiesta antes de entrada el estadio donde vistamos muchos amigos de nos escuela. <br/>   30 minutos antes del juego, entramos el estadio y fuimos a nuestros asientos. El juego era muy apasionante. ¡Al fin, los Gators eran los campeones! Todos de los aficionados aplaudir y dijeron, “Go Gators.” <br/>   Después del juego, mis amigas y yo teníamos hambre. Fuimos a seis restaurantes diferentes pero eran líneas muy largas en todos. La espera fue más de una hora en todos los restaurantes. Finalmente, fuimos a un restaurante de pizza y comíamos mucho comida.  <br/>   Viajamos por el tren otra vez y regresamos a la casa a las dos en la mañana. ¡Mis amigas y yo éramos muy cansadas! Dormíamos muy bien este noche. <br/>   El mañana próxima, nos despertamos tarde y dijimos “Adiós” a la familia de la hermana de Cheree. Era muy triste, pero el fin de semana era muy divertido.  <br/>   El viaje a Gainesville era largo porque todas eran cansadas. Regresamos a nuestros apartamentos en la noche. <br/>   Este viaje es un recuerdo muy especial para mí. Fue una experiencia gran con mis amigas. Siempre recordó este viaje cuando pienso sobre mi vida en la Universidad de Florida.	
Learners	EN_WR_32_19_7_5_JJW	2006-2016	32 / 43	74.4	Upper intermediate	Male	19	University of Florida	SPN2240	1st	English	English	English	English	13	7	No	""	""	0	""	Lower intermediate (B1)	Upper intermediate (B2)	Upper intermediate (B2)	Upper intermediate (B2)	3.75 / 6	""	""	""	""	""	Written	5	5. Future plans	written_online	""	Outside classroom	""	Ahora, yo soy un jugador de beisbol para la universidad de florida. Beisbol es un deporte que es muy interesante y divertido para mi. He jugado beisbol para once anos, y yo querria ser un jugador de beisbol para el resto de mi vida. Querria ser un jugador de beisbol para muchas razones. Un razon es yo creo que estoy teniendo un trabajo de jugando beisbol es el trabajo mas ideal en todo el mundo. Pienso que hay ningunos trabajos que son mejor. Es un trabajo sueno porque puedes jugar un partido por un trabajo y puedes recibir mucho dinero por un salario. Un otro razon que yo querria ser un jugador de beisbol es que tu solamente trabajar para seis meces durante el ano, y los otros seis meces, estas libre hacer algo que tu deseas. Podras gastar tiempo con tu familia mientras no jugando beisbol. Jugando beisbol es un sueno de mi, y yo trabajara muy dificil para un opurtunidad jugar beisbol profesional. Si yo puedo ser un jugador de beisbol o si yo no puedo ser un jugador de beisbol, yo querria graduar de la universidad de florida con un grado en eprecio y un minor en espanol. Despues de graduacion, quierra ser un empresario, trabajando con atletas profesionales. Yo quierra ayudar los atletas con negaciones de contractos con los equipos que ellos jugando para. Tambien, yo quierra tener una familia grande. Yo quierra tener nueve ninos, cinco muchachas y cuatro muchachos. Yo creo que una familia intima es muy importante y ayudan los ninos ser maduro y seguro de si mismo. Yo quierra vivir con mi familia en una casa muy granda y lujoso. Yo quierra vivir en una casa en las Carolinas, pero no es importante entre de norte o sur. Si yo puedo tener todas de estas cosas, yo tendra la vida perfecta!	
Learners	EN_WR_32_19_8_5_CCW	2006-2016	32 / 43	74.4	Upper intermediate	Female	19	University of Florida	SPN2240	2nd	English	English	English	English	11	8	No	""	""	0	""	Upper intermediate (B2)	Upper intermediate (B2)	Lower advanced (C1)	Upper intermediate (B2)	4.25 / 6	""	""	""	""	""	Written	5	5. Future plans	written_online	""	Outside classroom	""	"Tengo Muchas planes para mi futuro, durante mi tiempo en la Universidad de Florida y despues tambien.  <br/>  En los cuatro anos que viene, quiero continuar a estudiar los negocios y el Espanol. Este verano, voy a viajar a Espana con el Colegio de Negocios ""Warrington"" para estudiar en Madrid. UF tiene un programa alli por los alumnos que estudian negocios. No puedo esperar a ir! Y quiero estar muy preocupada con mi Sororidad, Alpha Delta Pi. Me encanta mis hermanas, y me encanta hacer cosas con ellas. Tambien quiero quedar en UF un ano mas para ganar una licenciatura ""masters"" en los negocios internacionales. Estudiara un semestre aqui en Gainesville y un semestre en Espana hasta me graduo en la primavera cuando vuelvo a los Estados Unidos.  <br/>  Cuando me graduo, quiero mover a Atlanta, GA para trabajar para una compania internacional. Me encanta el Sur de los Estados Unidos, y me gusta tambien la ciudad de Atlanta. Pero, cuando estoy joven, quiero viajar en mi trabajo a muchas lugares diferentes. Y tambien, voy a comprar un perro para me da compania cuando estoy en casa; quiero llamarse Winston. Pienso en trabajar hasta me caso y tener ninos. Entonces, quiero quedar en casa y ayudar a mis hijos, como mi madre y abuelas hicieron. Me gustaria tener tres hijos, dos hijos y una hija. Y quiero vivir con mi familia en un barrio a cerca de Atlanta.  <br/>  Mas lejos en el futuro, cuando nuestros hijos son adultos o en Universidad (espero que ellos vengan a UF tambien porque me encante este escuela!) mi marido y yo iremos a viajar a muchas lugares juntos, como Europa, America del Sur, y el Caribe tambien!  <br/>  Todo de esto seria fabulosa, pero en realidad, todo que es importante es que yo soy feliz y tengo personas quien se me encantan."	
Learners	EN_WR_32_19_8_5_IBBY	2006-2016	32 / 43	74.4	Upper intermediate	Female	19	Illinois Wesleyan University	El.Ed. ¿Spanish	2nd	English	English	English	English	12	8	No	""	""	0	""	Upper intermediate (B2)	Lower advanced (C1)	Lower advanced (C1)	Upper intermediate (B2)	4.5 / 6	""	""	""	""	""	Written	5	5. Future plans	written_online	""	Inside classroom	""	Mis planes del futuro estan llenos de trabajo con muchos tipos de niños. Quiero ser una maestra de niños en la escuela primaria pero no en solamente inglés también en español. Quiero ser una maestra bilingüe de niños porque creo que es muy importante para conocer más que una lengua hoy en día. Es más facil para entender a español si comenzar cuando eres niño. Si es posible también quiero ser una maestra de estudiantes especiales o estudiantes que son minusvalidos. Pienso que puede conocer muchos de niños y estarás más felíz cuando estás cerca de los niños. Mi vida va a ser dedicada a los niños en las escuelas porque conoces a la importancia de maestras y maestros en la vida de todos los niños en las escuelas. <br/>   No sé si voy a casar con alguien o si voy a tener niños de mi propia cuerpo. Mi primero quiero en vida es para ser una maestra y siempre estar en la escuela. Me encanta escuela, enseñar, y entender y nunca quiero salir de la. Si yo casaré nunca voy a dejar de mi trabajo porque he estudiado y trabajado mucho para este trabajo y es la fuente de mi orgullo. Si teneré un esposo y tenemos tiempo entre nuestros trabajos, quiero que adoptar a unos niños. <br/>   En el futuro quiero vivir en un otro estado o país. Pienso que la area que yo estoy de es lleno de personas que nunca van a salir de nuestro ciudad. He vivido en mi ciudad por 17 casi 18 años y pienso que es más en el mundo que puedes ver de mi ciudad. Quiero ver todo del mundo y no solamente pensar en mi pequeña ciudad en el norte de Illinois. Yo conozco mucho más que conocí cuando estuve en los EEUU porque estoy viviendo en un país diferente, con personas diferentes, con una lengua diferente, y siempre estoy haciendo cosas extrañas y divertidas que no puedo hacer en Illinois. También quiero vivir en una ciudad muy grande como Seattle, Washington o posible Madrid, España porque siempre estan cosas para hacer y entender y oportunidades especialmente para maestras de más que una lengua porque mucha gente que hablan lenguas diferentes viven en las ciudades. <br/>   Ojalá que casaré con un hombre con mucho dinero porque quiero hacer muchas cosas que cuestan mucho dinero y maestras no ganan mucho dinero. Pero en serio, no me importa si casaré o si él tiene mucho dinero. Yo creo que cada cosa ocurre para un razon y si no puedo viajar o enseñar todo es por un razón y voy a tener una buena vida sin estas cosas. <br/>   Se me olvidó que tambíen quiero unos perros! Me encantan los perros y pienso que ellos son buenos amigos. Si no casaré o teneré hijos y puedo cuido a mis perros. Con esto yo parezco como una persona que no tiene nada o ningunos amigos. Pero pienso que soy muy independiente y quiero que hacer que yo quiero y nadie puede cambiar mis ideas, planes, o vida si no quiero.	
Learners	EN_WR_32_20_10_13_KO	2019	32 / 43	74.4	Upper intermediate	Female	20	College of the Holy Cross	Spanish	3	English	English	English	English	10	10	Yes	Spain	2019	5	""	Lower intermediate (B1)	Lower intermediate (B1)	Lower intermediate (B1)	Lower intermediate (B1)	3 / 6	""	""	""	""	""	Written	13	13. Frog	written_online	10	Inside classroom	Bilingual dictionary (English/Spanish)	Había una vez un niño tenía una mascota de una rana. La rana estaba en la habitación del niño y el niño y su perro jugaban con la rana. Pero, la rana crecía muy rápida y después de una semana, cuando el niño estaba durmiendo, la rana saltó de la habitación. Cuando el niño estaba despierta, no pudo encontrar la rana. El niño y su perro fueron a el bosque y llamaban por la rana. En el bosque el niño encontró un venado y el niño se cayó en un lago en el bosque. En el lago encontró su rana con su familia!	
Learners	EN_WR_32_20_13_14_GG	2019	32 / 43	74.4	Upper intermediate	Male	20	Valparaiso	Business Management	3	English	English	English	English	7	13	No	""	""	0	""	Upper intermediate (B2)	Lower advanced (C1)	Lower advanced (C1)	Upper intermediate (B2)	4.5 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	15	Inside classroom	""	En el video Chaplin estaba caminando y fumando mientras otras personas ponen cosas afuera de las ventanas. Las cosas golpeo a Chaplin entonces el nececito un otro cigarillo. despues de un cigarillo mirro un bebe en el calle. Primera Chaplin penso que el bebe fue de una mujer cerca de el. No fue el bebe de ella. Segundo Chaplin ha probado salir sin el bebe pero la policia estaba mirrando a Chaplin. El tiempo terecer Chaplin probado salir el bebe con un otro hombre. Proximo el otro hombre pienso que el bebe venio de la mujer cerca de Chaplin y tambien Chaplin fue en un situacion malo con la policia y una mujer. En el fin Chaplin encontro una nota y realizo que el bebe nececito ir a un casa de hijos que no tienen padres.	
Learners	EN_WR_32_20_5_4_EPGA	2006-2016	32 / 43	74.4	Upper intermediate	Male	20	University of Florida	SPN 3300	3rd	English	Tagalog	Tagalog	English, Tagalog	14	5	No	""	""	0	""	Upper intermediate (B2)	Lower intermediate (B1)	Upper intermediate (B2)	Upper intermediate (B2)	3.75 / 6	Tagalog	Upper intermediate (B2)	Lower advanced (C1)	Upper intermediate (B2)	Upper intermediate (B2)	Written	4	4. Last year holidays	written_online	""	Inside classroom	Bilingual dictionary (Spanish/English)	En el año pasado, no conseguí muchos vacaciones. El razón por eso es que yo estaba aquí en Gainesville estudiando y trabajando. Cuando no hay clases, mis vacaciones eran muy cortos, como un fin de semana o una semana cuando el semestre ya terminó. Soy de Miami y por eso, necesito seis horas para manejar. Cuando llego a mi casa, estoy muy cansado y quiero dormir. Aunque no conseguí una vacación muy divertido y relajado, yo hizo mucho aquí en Gainesville durante mi verano. Es verdad que yo estaba aquí tomando muchos clases y trabajando, pero también hay cosas y eventos muy interesantes y memorables.  <br/>   Primero, mientras más estudiantes vayan a su casa cuando estaba en verano, yo estaba aquí en Gainesville. Sí, yo fue a mi casa para visitar mis padres y amigos. Pero este vacación era muy corto porque duró por una semana. Muchos de mis nuevos amigos estaban aquí en Gainesville también tomando clases, y por eso, yo no estaba aquí solo. El verano pasado era mi segundo vez que yo tomé clases después de la semestre de primavera. Pero este verano era diferente porque creo que vaya muy ocupado. Yo había conseguido un posición en la hospital como un puesto de interno. La posición en la hospital no dé un salario para mi. Este posición era solo para experiencia. Yo estaba tomando tres clases, de nueve créditos, y también trabajando en la hospital. Aparte de estos actividades, me gusté a pasar tiempo con mi novia y mis amigos y también hacer ejercicio en el gimnasio. Me gusta a jugar baloncesto, y por eso, yo jugué con un equipo de mis amigos. Era muy ocupado, pero también, no estaba miserable.  <br/>   Mis tres clases durante el verano eran de las ciencias como química, biología y una clase que de nutrición. Pero me gusté mis tardes cuando fue a la hospital. Estaba trabando en la departamento de radiología. Cuando estaba en la hospital, yo tuve una experiencia que pareció un médico en el departamento que yo quiero. Si es verdad que no conseguí un salario o ningun centavo por eso. Pero las experiencias, como que yo ví, los médicos que yo encontré y también los divertidos en los departamentos eran buenos experiencias. En la noche, especificamente las noches de lunes y martes, yo tuve mis juegos de baloncesto en el gimnasio. Había dos días de juegos porque un día era solo para juegos de hombres y el otro era para hombres y mujeres. Fue muy divertido porque yo jugué con mis amigos y mi novia. Ganamos mucho, pero al fin, era solo para divertirse.  <br/>   Aunque muchos estudiantes y personas regresaron a casa cuando hay un vacacción larga, yo estaba aquí en gainesville. Pero las experiencias que yo tuve en la hospital y los buenos momentos con mis amigos, creo que es similar con una vacacción.	
Learners	EN_WR_32_20_5_6_DT	2006-2016	32 / 43	74.4	Upper intermediate	Male	20	Universidad Complutense de Madrid	""	3rd	English	English	English	English	15	5	No	""	""	0	""	Lower intermediate (B1)	Lower intermediate (B1)	Upper intermediate (B2)	Upper intermediate (B2)	3.5 / 6	""	""	""	""	""	Written	6	6. Recent trip	written_online	""	Outside classroom	""	Recientemente, viajé a España para estudiar por un año. Aunque el viaje no fue muy difícil, todos los cosas que necesité hacer antes de salir fueron muy difícil. En principio, necesité aplicar por un pasaporte. Eso fue simple. Un día en la tarde, fui a la oficina de correos, y aplique. No hubo problema. Después, necesité aplicar por uno visado. Eso fue mucho más difícil. Necesité ir a un médico, y después a la policía, y mi compañía de seguridad. Recibí recomendaciones de la facultad a Tulane, y una carta de aceptar de la Universidad Complutense. También, necesité viajar al consulado en Los Ángeles para aplicar en vivo. Entonces, compré un boleto de ida en la mañana, y la vuelta en la tarde. Solo por aplicar por un visado. El consulado me dijo que mi forma del policía no era bastante bien, y necesito hablar con mi gobierno en Utah, también. Entonces, fui al gobernador para recibir una apostilla. “Ahora estoy listo para salir,” pensé. Dos o tres semanas después, estuvo en el aeropuerto. Tuve tres vueltas. Salt Lake City a Chicago, Chicago a Paris, y finalmente Paris a Madrid. Mi primera vuelta fue bien. En Chicago, esperé por 3 horas hasta mi segunda vuelta. Finalmente, me senté en el avión, pero no lo movió por una hora. Cuando salí Chicago, y entonces cuando llegaría en Paris, estaría tarde por la vuelta a Madrid. Mientras crucé el mar atlántico, miré películas, y resolví sudokos. Para mí, es extraño a cenar en un avión, por que nunca he sido en vueltas internacionales. Pero en eso, tuve cena y desayuno, también. Hablé con un alemán sobre Europa y que partes le gusta. Después de una siesta corto, llegué en Paris. Como pensaba, estuve tarde. Después de hablar con mucha gente, recibí una boleta para una vuelta nueva, y un cupón por un bocadillo. No hablo nada de francés, y pues las conversaciones ese día fueron corto y difícil. Comí mi bocadillo, y descansé en frente de la televisión. Traté a mirar televisión francés, pero sí no entiendes francés, televisión no s muy interesante. Finalmente pude entrar mi avión final a Madrid. Ese avión, también, no funcionó correctamente, y entonces no movió por un hora o más. Finalmente llegué en Barajas norte de Madrid. Busque un taxi, y después de casi una hora de viajar, llegué a mi Colegio. Vivía en Colegio Mayor de Nuestra Señora de Guadalupe. No había sabido, pero mi español fue muy mal. En el principio, fue muy difícil para hablar o escuchar a alguien. Ese noche, la directora de mi programa, mi amiga de Tulane, y yo fuimos a cenar, y hablar sobre el próximo año. Recibí un calendario de eventos. Ahora, he visitado una bodega y castillo en Castilla-Leon, mirado un baile flamenco, y visitado el Museo Prado. He hecho amigos de toda España. He aprendido usar el metro y conocer la ciudad un poco más. Aunque no soy fluido todavía, yo sé más español, y puedo escuchar y entender mucho más, ¡y todos esos en menos de dos semanas!	
Learners	EN_WR_32_20_6_11_MJH	2006-2016	32 / 43	74.4	Upper intermediate	Male	20	Providence College	""	3rd	English	English	English	English	14	6	Yes	Spain	Fall 07	4.5	""	Upper intermediate (B2)	Lower advanced (C1)	Upper intermediate (B2)	Upper intermediate (B2)	4.25 / 6	""	""	""	""	""	Written	11	11. Marijuana legalization	written_online	""	Inside classroom	""	Creo que la marihuana debe ser legalizado en todo el mundo. En este ensayo corto quiero enforcar en tres puntos los que creo que son más importante. Primer, que marihuana no es una droga pero una hierba o planta, y tiene usos buenos como un medicina. Puede ser usado como medicina para personas que tienen enfermedades como cancer, glaucoma, duele de espalda y mucho más. Además de todo este, es completemente bien. Estoy seguro que en más de alguna ocasión hemos ido a plazas y parques donde se ve gente consumiendo marihuana. Asimismo, me atrevo a decir que la mayoría de los chilenos tenemos un amigo, conocido, vecino o familiar que la consume. <br/>  Vamos a ver esto de la legalización de la marihuana es una cuestión de sentido común amigos, tenemos el claro ejemplo de Amsterdam. Allí el indice de delitos por tráfico de drogas derivadas de la marihuana (hachis)es nula y la gente vive de puta madre (no es k me lo imagine estuve allí de vacaciones). En cuanto al piradillo rabioso ese de ''lo ilegalizo entero todo'' un consejo: piensa en verde... Con la legalización de la marihuana en España se reduciría el nº de drogadictos de adictos menores y de camellos de forma sorprendente, ademas se crearian bares exclusivos donde se permitiera fumar maria (como en Amsterdam). El tema de las drogas y su legalización contempla dos dimensiones, que pocas veces son consideradas en forma simultáneamente en los debates. La primera, incluye el problema de los adictos, la gente que se aliena en el consumo de sustancias y estupefacientes, y que son regularmente la base de los argumentos en contra de la legalización. La segunda dimensión, tiene relación con el tráfico, las mafias, la venta ilícita y el enriquecimiento desproporcionado de quienes aprovechan un mercado negro sin control de ninguna índole. En este sentido, el debate en torno a la legalización de la marihuana no debe sustentarse en una apología al consumo y las libertades individuales, donde los argumentos se centran esencialmente en sus efectos, sino que debe centrarse y potenciarse como el elemento de control, que regularice un mercado con una demanda real, amplia y ya existente, que evite el surgimiento de mafias y grupos delictuales en torno a este producto. Legislar el consumo de marihuana es la solución más clara que puedo pensar para acabar con tanto tráfico ilegal. Lo malo es que los políticos creen que esta planta es maligna y que todos nos volveremos adictos y nos mataremos o algo así...pero... es curioso en Amsterdam el indice de criminalidad no es tan alto como EEUU, y sin embargo fuman maria, y tambien es curioso... allí no se consume tanta maria como en otros países donde no está legalizada... ¿Por qué no legalizarla si eso supone un beneficio para la población? ¿No tiene el pueblo la última palabra en estas cuestiones si existe una democracia? Por todo eso, marijuana es bueno para el salud, y el gobierno puede ganar dinero de los impuestos que reciben de marihuana.	
Learners	EN_WR_32_20_6_4_SMG	2006-2016	32 / 43	74.4	Upper intermediate	Female	20	Queen Mary University of London	Hispanic Studies	2nd	English	English	Greek	English, Greek	14	6	No	""	""	0	""	Upper intermediate (B2)	Lower advanced (C1)	Lower advanced (C1)	Upper intermediate (B2)	4.5 / 6	Greek	Upper advanced (C2)	Upper advanced (C2)	Lower advanced (C1)	Upper intermediate (B2)	Written	4	4. Last year holidays	written_online	""	Outside classroom	Bilingual dictionary (Spanish/English)	La ventaja de ser estudiante es que recibe tres meses de vacaciones en el verano. Durante el verano pasado mi hermana y yo decidimos viajar Europa por el tren. Compramos dos billetes de ‘Europass’ y dos mochilas y acabamos nuestro viaje en la nueva estación de St. Pancras Internacional en Londres. La destinación fui Atenas. Seguíamos una ruta por Paris, Lyon, Montpellier, Portofino, Florencia, Bolonia, Verona, Venecia y Atenas. No voy a recordar todas los días del viaje sino que explicaré mis pensamientos sobre mis sitios favoritos.  <br/>   Lo que me impresionó más estaba la segunda cuidad de Francia; Lyon. La cuidad tiene dos ríos; el Rhône y el Saône. Entre los dos está el centro de la cuidad que contiene una plaza grande, una carretera peatonalizado por las tiendas de la moda, los restaurantes, los bares y los teatros. Lyon es el patrio de muchos estudiantes entonces su energía siente joven y hay muchas facilidades por los estudiantes por ejemplo; El sistema del metro permite que los estudiantes viajen por la cuidad rápidamente y económicamente. Hay un iniciativo de ciclismo en que los estudiantes y los ciudadanos utilizan las bicicletas publicas para que puedan viajar en la cuidad. Esto es muy bien porque promueve el transporte ecológico y el ejercicio y es muy barato. La ciudad vieja está situado cerca del rió Saône y sus calles están estrechos. Hay un teatro romeo y la iglesia Fouviere y los vistos son fantásticos. Cerca del rió Rhône hay dos piscinas publicas, una de dimensiones olímpicas, que me muestra que Lyon es una ciudad que mantiene su sociedad. <br/>   Atenas era mi sitio favorito. Soy griega pero vivo en Inglaterra y me encanta visitar a Grecia porque mis características son más griegas que inglesas. Hablo griego también entonces la comunicación con los griegos es fácil. Atenas no tiene mucha atracción estética. Es una ciudad destruida por los edificios de los años sesenta y asfixiada por la polución pero si quieres disfrutar la vida es el lugar de hacerlo. Cuando estábamos aquí, mi hermana y yo pasamos tiempo en el barrio Kolonaki donde están muchas tiendas, cafeterías, restaurantes y bares y la gente es muy chic. Para pasar bien a la noche salimos cerca del mar donde hay los clubes mejores para bailar. Bailamos, también, en el centro porque aquí tocaban música más tradicional. La vida nocturna en Grecia sigue el mismo ritmo que la en España. Comienza a la medianoche y continúa hasta al amanecer. Pienso que está lo único modo de salir.  <br/>   En Italia mi sitio favorito era Santa Margarita de Ligure. El pueblo está situado algunos kilómetros sur de Genova. Aquí hay una playa bonita y un puerto pequeño donde se buscan barcos lujosos. No había mucho de hacer pero mi hermana y yo paseamos por la playa y el puerto. La gente son ricos y hay restaurantes de una calidad alta y hay tiendas como ‘Ralph Lauren’ y ‘Yves Saint Laurent’. La naturaleza cerca de Santa Margarita y Porto Fino es muy bonita. Allí, comí el mejor helado de mi vida pero en Italia lo se llama gelato y mi hermana y yo los comíamos cada noche durante nuestra visita en Santa Margarita.  <br/>   En el futuro quisiera viajar por tren mucho más. Deseo que viaje por los Estados Unidos y Latinoamérica porque sería una aventura fabulosa.	
Learners	EN_WR_32_20_6_9_JRH	2006-2016	32 / 43	74.4	Upper intermediate	Female	20	University of Florida	SPN 2240	2nd	English	English	English	English	14	6	Yes	Spain	Several times between 2005- 2007	""	""	Lower intermediate (B1)	Upper intermediate (B2)	Upper intermediate (B2)	Upper intermediate (B2)	3.75 / 6	""	""	""	""	""	Written	9	9. Anti-smoking law	written_online	""	Inside classroom	""	En mi opinión, es mas importante que tener una ley que se abrogar el uso de tabaco en el mundo general. Por muchos anos, nos han sabido que tabaco es muy mal para nuestra salud. Pienso que es muy triste que sepamos los hechos, pero el gobierno no hice nada que terminar tabaco. Todas las personas saben que los efectos malos de tabaco son escritos en los cartons de cigarrillos, pero esto no es suficiente. Las personas fumarían todavía. Debe ser una ley que prohibir las personas de comenzar fumando hasta que las asistían una clase que enseña los efectos malos que tabaco y que cigarrillos y otras formas de tabaco puede matar en muchas maneras, incluye cáncer, enfermedad cardíaca, y otras. Estoy de acuerdo con el ley para prohibir el uso de tabaco en los jóvenes menos la edad 18 en los EEUU, pero en Europa el edad es 16, y esto es un edad mas joven para los personas deciden fumar. Yo comprendo que es un derecho para permitir las personas que deciden fumar o no fumar- pero pienso que muchas de las personas quien fumados no saben que el impacto de tabaco en todos los aspectos de su bienestar. Las personas quien fumados, eventualmente, no pueden completar las tareas sencillas o sus rutinas diarias el mismo que antes de ellos empezaron a fumar. Caminando a las escaleras empecé más difícil y en muchos casos las personas llegan a ser perezosas. Cada día cuando tú fumas, o usas cualquiera forma de tabaco, tu cuerpo esta perdido la lucha en contra de tabaco. Tu cuerpo puede ser más débil y llega a ser más duro que luchar la enfermedad. Es terrible que nuestro gobierno no le diera atención a esta situación. Fumado es el caso numero uno para muerte en nuestro país y en muchas otras también. Si había un asesino en las calles, la policía lo agarraría y lo castigaría. Tabaco debe ser tratado en la misma manera- lo debe ser visto como un asesino. Pienso que mi punto vista y mis opiniones sobre tabaco son muy liberales, y muchas personas no están de acuerdo con mis opiniones. Pero, con la tecnología de hoy nos podemos salvar las victimas de cáncer; porque no eliminaríamos un de las causas de cáncer? Las personas que escogen usar tabaco deben pagar un impuesto mas caro por sus tabacos, y el dinero debe financiar la investigación de cáncer y ayudar las familias está sufriendo de cáncer. Debe haber más programas que ayudar las personas quien fumar para pararlo. En general, una ley deber ser establecida que hice la decisión para fumar más difícil para los jóvenes especialmente, para ayudar las personas que quieren parar, y cargar dinero de impuestos por las personas que compran los productos tabacos.	
Learners	EN_WR_32_20_7_3_SK	2017	32 / 43	74.4	Upper intermediate	Female	20	Occidental College	Sociology	3rd	English	English	English	English	12	7	Yes	Bolivia	2016	3	""	Lower intermediate (B1)	Lower intermediate (B1)	Lower intermediate (B1)	Lower intermediate (B1)	3 / 6	""	""	""	""	""	Written	3	3. Film	written_online	15	Inside classroom	Bilingual dictionary (English/Spanish), Spellchecker	Recientemente, yo ve una película que se llama Moana. La protagonista es una chica que vive en una isla en el mar Pacifico y es la hija del líder del pueblo. La chica, Moana, tiene una sueño que salir su isla y explorar el mar. También, ella he tenido una conexión mágica con el mar por toda su vida: el mar le dio una roca mágica para ayudarle en su viaje. Primero, Moana navega a una otra isla para encontrar el dios Maui, que puede ayudarla en su objetivo. Los dos viaje juntos por el mar para dar la roca mágica a una diosa para salvar la isla, el pueblo, y la familia de Moana.	
